order | TrendsFollowers1 @ EURUSD,60 | 
order | TrendsFollowers1 @ EURUSD,60 | 
order | TrendsFollowers1 @ EURUSD,60 | 
order | TrendsFollowers1 @ EURUSD,60 | 
order | TrendsFollowers1 @ EURUSD,60 | 
order | TrendsFollowers1 @ EURUSD,60 | 
order | TrendsFollowers1 @ EURUSD,60 | 
order | TrendsFollowers1 @ EURUSD,60 | 
order | TrendsFollowers1 @ EURUSD,60 | 
order | TrendsFollowers1 @ EURUSD,60 | 
order | TrendsFollowers1 @ EURUSD,60 | 
order | TrendsFollowers1 @ EURUSD,60 | 
order | TrendsFollowers1 @ EURUSD,60 | 
order | TrendsFollowers1 @ EURUSD,60 | 
order | TrendsFollowers1 @ EURUSD,60 | 
error | TrendsFollowers1 @ EURUSD,60 | OrderModify failed 6 times; error #130 invalid stops
